Domain,Code,Service_group,Service_desc
Cooling,C-1a,"Cooling control - demand side","Cooling emission control"
Cooling,C-1b,"Cooling control - demand side","Emission control for TABS (cooling mode)"
Cooling,C-1c,"Cooling control - demand side","Control of distribution network chilled water temperature (supply or return)"
Cooling,C-1d,"Cooling control - demand side","Control of distribution pumps in networks"
Cooling,C-1f,"Cooling control - demand side","Interlock: avoiding simultaneous heating and cooling in the same room"
Cooling,C-1g,"Cooling control - demand side","Control of Thermal Energy Storage (TES) operation"
Cooling,C-2a,"Control cooling production facilities","Generator control for cooling"
Cooling,C-2b,"Control cooling production facilities","Sequencing of different cooling generators"
Cooling,C-3,"Information to occupants and facility managers","Report information regarding cooling system performance"
Cooling,C-4,"Flexibility and grid interaction","Flexibility and grid interaction"
Cooling,C-E1,"User defined service group 11","User defined smart ready service 11"
Cooling,C-E2,"User defined service group 12","User defined smart ready service 12"
Cooling,C-E3,"User defined service group 13","User defined smart ready service 13"
Cooling,C-E4,"User defined service group 14","User defined smart ready service 14"
Cooling,C-E5,"User defined service group 15","User defined smart ready service 15"
"Dynamic building envelope",DE-1,"Window control","Window solar shading control"
"Dynamic building envelope",DE-2,"Window control","Window open/closed control, combined with HVAC system"
"Dynamic building envelope",DE-4,"Feedback - Reporting information ","Reporting information regarding performance of dynamic building envelope systems"
"Dynamic building envelope",DE-E1,"User defined service group 26","User defined smart ready service 26"
"Dynamic building envelope",DE-E2,"User defined service group 27","User defined smart ready service 27"
"Dynamic building envelope",DE-E3,"User defined service group 28","User defined smart ready service 28"
"Dynamic building envelope",DE-E4,"User defined service group 29","User defined smart ready service 29"
"Dynamic building envelope",DE-E5,"User defined service group 30","User defined smart ready service 30"
"Domestic hot water",DHW-1a,"Control DHW production facilities","Control of DHW storage charging (with direct electric heating or integrated electric heat pump)"
"Domestic hot water",DHW-1b,"Control DHW production facilities","Control of DHW storage charging (using hot water generation)"
"Domestic hot water",DHW-1d,"Control DHW production facilities","Control of DHW storage charging (with solar collector and supplymentary heat generation)"
"Domestic hot water",DHW-2b,"Control DHW production facilities","Sequencing in case of different DHW generators"
"Domestic hot water",DHW-3,"Information to occupants and facility managers","Report information regarding domestic hot water performance"
